CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2008029169,2007,,0,,,,2
2007045732,2007,,0,,,,1
2007046703,2007,,0,,,9.0,2
2007067382,2007,,0,PA,GH27I96,,1
2007080022,2007,,0,,,8.0,3
2007080261,2007,,0,,,,4
2007080973,2007,,0,,,2.0,2
2007099614,2007,,0,,,,1
2007120732,2007,,0,,,9.0,1
2007057413,2007,,0,,,7.0,2
2007066489,2007,,0,,,,3
2007092308,2007,,0,,,,1
2007093565,2007,,0,,,9.0,2
2007106816,2007,,0,,,,1
2007119402,2007,,0,,,,2
2007048971,2007,,0,,IW8E4,7.0,1
2007067332,2007,,0,PA,XCX604Z,7.0,1
2007079937,2007,,0,,,6.0,1
2007091242,2007,,0,,????????????,,2
2007093542,2007,,0,,,,1
2007047964,2007,,0,,,,1
2007067243,2007,,0,,,,2
2007075255,2007,,0,,N27477,7.0,1
2007098278,2007,,0,,,6.0,3
2007106077,2007,,0,,,,2
2007120244,2007,,0,,,,2
2007120291,2007,,0,,,8.0,2
2007126536,2007,,0,,,,1
2008005201,2007,,0,,,,1
2007057220,2007,,0,,,,2
2007080409,2007,,0,,,,1
2007081145,2007,,0,PA,7987MW,1.0,1
2007082592,2007,,0,,,,1
2007092811,2007,,0,,,,1
2007097779,2007,,0,,,,1
2007106947,2007,,0,,,,1
2007120539,2007,,0,OH,TNP5D6,6.0,2
2008008730,2007,,0,ME,U53G96,7.0,1
2008017221,2007,,0,PA,PT5787F,7.0,1
2008033784,2007,,0,,,7.0,2
2007047551,2007,,0,,,,1
2007048850,2007,,0,NM,NIA,,1
2007065650,2007,,0,,M,1.0,4
2007080022,2007,,0,,,8.0,1
2007084728,2007,,0,,,7.0,2
2007093547,2007,,0,,,,2
2007097875,2007,,0,,,9.0,2
2008003832,2007,,0,,,,1
2008008127,2007,,0,,,,2
2008024049,2007,,0,,XT2464,7.0,1
2007046321,2007,,0,,WM,3.0,1
2007046823,2007,,0,,,,2
2007057365,2007,,0,,,,2
2007065650,2007,,0,,,,3
2007066281,2007,,0,,,,1
2007120641,2007,,0,,,6.0,2
2007123809,2007,,0,,,,2
2007047043,2007,,0,,T36034,7.0,1
2007047566,2007,,0,,,,1
2007067243,2007,,0,,,,1
2007068134,2007,,0,NE,I3305IZ,7.0,1
2007080064,2007,,0,,,,3
2007081778,2007,,0,,1,,2
2007084728,2007,,0,,,7.0,1
2007097966,2007,,0,,UNL,7.0,1
2007098725,2007,,0,,,,2
