CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2008044031,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,2,99999999,11.0
2008051736,99.0,1.0,354 CH YAMASKA,,UNKNOWN,QC,99999,SGT2000 INC,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,6.0
2008052083,3.0,8.0,1801 DARBY RD.,,HAVERTOWN,PA,19083,SCHOOL DIST. OF HAVERFORD TWP.,9999999999.0,,,,,,N,,,,,,,,A-00000000,,,,,1,,11.0
2008054076,99.0,1.0,4100 SOUTH COUNCIL,,OKLAHOMA CITY,OK,73179,J B HUNT TRANSPORT INC,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,6.0
2008058057,99.0,9.0,800 RIVER ROAD,,CONSHOHOCKEN,PA,19428,PHILA NEWSPAPERS LLC,9999999999.0,14100.0,,,,,N,,,,,,U,,,,,,,1,,9.0
2008059164,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19151,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008060620,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008090922,2.0,1.0,936 FAIRMOUNT ST,,CAMDEN,NJ,08104,IRRIGATION SYSTEMS INC,9999999999.0,17500.0,,,,,N,,,,,,N,,,,,,,3,,3.0
2008108457,99.0,7.0,100 S BROAD ST,,PHILADELPHI,PA,99999,CITY OF PHILADELPHIA,9999999999.0,,,,,,N,,,,,,N,,,,,,,3,,5.0
2008133600,99.0,8.0,350 N. ST PAUL ST.,,DALLAS,TX,99999,GREYHOUND LINES INC,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2009000790,99.0,9.0,835 NE LYCMING ST,,PHILADELPHIA,PA,19124,OCONNER TRUCK LEASING,9999999999.0,54000.0,,,,,N,,,,,,N,,,,,,,2,,99.0
2009015079,99.0,9.0,479 SHOEMAKE RD,,KING OF PRUSSIA,PA,19406,LE BUS BAKERY,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2008053247,99.0,9.0,972 S HUNT RD,,NEWTOWN SQUARE,PA,19073,THE HAPPY HUCKSTER,9999999999.0,999999.0,,,,,,,,,,,N,,,,,,,1,9999999,5.0
2008073510,99.0,1.0,1640 BLAIR ST,,THOMASVILLE,NC,27360,SHELBA D. JOHNSON,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,9999999,8.0
2008082317,1.0,8.0,230 THEATER DRIVE,,JOHNSTOWN,PA,15904,LODESTAR BUS LINE,2154575715.0,,,,,,N,,,,,,U,,,,,,,2,,11.0
2008101052,99.0,8.0,510 WALNUT ST,,PHILADELPHIA,PA,19146,IMPERIAL PARKING,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008108494,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,1,,
2008118916,99.0,9.0,"100 S BROAD ST,3RD FL",,PHILADELPHIA,PA,19102,CITY OF PHILA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2008127391,5.0,1.0,12 GOTWALS LN.,,OLEY,PA,19547,GEORGE HUTT INC.,8006343089.0,80000.0,,,,,N,,,,,,N,,,,,,,2,00085484,8.0
2008133304,2.0,8.0,3101 ORTHODOX ST,,PHILADELPHIA,PA,19107,YELLOW BUS CO,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2009012726,99.0,8.0,UNKNOWN,,PHILADELPHIA,PA,99999,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008043961,2.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155806229.0,,,,,,N,,,,,,N,,,,,,,1,99999999,11.0
2008048602,99.0,8.0,5530 E. 31ST ST,,TULSA,OK,74135,DTG OPERATIONS,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,11.0
2008052214,5.0,1.0,75 COUNTY ROAD,,JERSEY CITY,NJ,07307,M INTERNATIONAL TRANSPORT,8007989879.0,80000.0,,,,,N,,,,,,N,,,,,,,2,00569618,8.0
2008054702,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155807800.0,,,,,,N,,,,,,U,,,,,,,1,,11.0
2008054963,2.0,1.0,170 N. RADNOR RD. STE 2,,RADNOR,PA,19087,ENTERPRISE LEASING CO.,6100000000.0,25500.0,,,,,N,,,,,,N,,,,,,,2,01493874,3.0
2008059205,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008076958,5.0,1.0,1475 BOWTTLER RD,,UNIONTOWN,OH,44685,FED EX CUSTOM CRITICAL,8004265746.0,80000.0,,,,,N,,,,,,N,,,,,,,2,,6.0
