CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2008040042,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008066726,N,Y,N,N,1.0,U,Y,Y,N,900.0,U,U,9.0,U,U,U,U,N,N,,,,,1
2008097405,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008097429,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,U,U,,,,,2
2008099059,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2008099266,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2008120546,,,,,,,,,,,,,,,,,,,,U,Y,N,Y,2
2009002640,,,,,,,,,,,,,,,,,,U,,,,,,2
2009029260,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2008097886,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2008098092,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2008098401,N,Y,Y,Y,1.0,Y,Y,Y,Y,600.0,,,,,,,,N,N,,,,,1
2008107982,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2008119101,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2008120172,,,,,,,,,,,,,,,,,,,,U,U,U,U,2
2009001046,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,U,,,,,1
2009002462,,,,,,,,,,,,,,,,,,,,U,U,N,U,1
2008058077,U,U,U,N,0.0,N,N,U,U,99999.0,,,,,,,,N,U,,,,,1
2008071640,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
