CRN,AGE,AIRBAG_PADS,AIRBAG1,AIRBAG2,AIRBAG3,AIRBAG4,CLOTHING_TYPE,DVR_LIC_STATE,DVR_PED_CONDITION,EJECT_PATH_CD,EJECTION_IND,EXTRIC_IND,INJ_SEVERITY,NON_MOTORIST,PED_LOCATION,PED_SIGNAL,PERSON_NUM,PERSON_TYPE,RESTRAINT_HELMET,SEAT_POSITION,SEX,TRANSPORTED,TRANSPORTED_BY,UNIT_NUM,VULNERABLE_ROAD_USER
2010017223,47,0,,,,, ,NJ,0.0,0,0,0,0,0,  , ,1,1,99,1,M,N,,1,0
2010017223,22,0,,,,,9,  ,0.0,0,0,0,4,1,99,2,1,7,0,0,F,Y,,2,1
2010017223,47,0,,,,, ,NJ,0.0,0,0,0,0,0,  , ,1,1,99,1,M,N,,1,0
2010017223,22,0,,,,,9,  ,0.0,0,0,0,4,1,99,2,1,7,0,0,F,Y,,2,1
2010018030,39,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,F, ,,1,0
2010018040,19,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,M,N,,2,0
2010018040,40,8,M,,,, ,PA,9.0,0,0,0,8,0,  , ,1,1,99,1,F,N,,1,0
2010018040,19,99,,,,, ,PA,0.0,0,0,0,8,0,  , ,1,1,99,1,M,N,,2,0
2010018040,40,8,M,,,, ,PA,9.0,0,0,0,8,0,  , ,1,1,99,1,F,N,,1,0
2010021869,23,0,,,,, ,PA,0.0,0,1,1,0,0,  , ,1,1,99,1,M,N,,1,0
2010021869,45,0,,,,, ,PA,0.0,0,1,1,4,0,  , ,1,1,99,1,F,Y,,2,0
2010021869,23,0,,,,, ,PA,0.0,0,1,1,0,0,  , ,1,1,99,1,M,N,,1,0
2010021869,45,0,,,,, ,PA,0.0,0,1,1,4,0,  , ,1,1,99,1,F,Y,,2,0
2010028262,51,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,2,0
2010028262,32,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,4,2,99,99,F,Y,,2,0
2010028262,8,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,6,2,99,99,M,Y,,2,0
2010028262,99,99,,,,, ,ZZ,9.0,0,0,0,9,0,  , ,1,1,99,1,M,N,,1,0
2010028262,48,0,,,,, ,PA,0.0,0,0,0,4,0,  , ,2,2,3,3,F,N,,2,0
2010028262,6,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,7,2,99,99,M,Y,,2,0
2010028262,13,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,5,2,99,99,F,Y,,2,0
2010028262,45,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,3,2,99,99,F,Y,,2,0
2010028262,1,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,8,2,99,99,M,Y,,2,0
2010028262,51,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,2,0
2010028262,32,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,4,2,99,99,F,Y,,2,0
2010028262,8,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,6,2,99,99,M,Y,,2,0
2010028262,99,99,,,,, ,ZZ,9.0,0,0,0,9,0,  , ,1,1,99,1,M,N,,1,0
2010028262,48,0,,,,, ,PA,0.0,0,0,0,4,0,  , ,2,2,3,3,F,N,,2,0
2010028262,6,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,7,2,99,99,M,Y,,2,0
2010028262,13,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,5,2,99,99,F,Y,,2,0
2010028262,45,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,3,2,99,99,F,Y,,2,0
2010028262,1,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,8,2,99,99,M,Y,,2,0
2010028343,28,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,4,1,3,1,M,N,,3,0
2010028343,24,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,5,2,3,3,M,N,,3,0
2010028343,43,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,3,2,0,3,F,N,,2,0
2010028343,77,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,1,3,1,M,N,,2,0
2010028343,56,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,1,0
2010028343,28,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,4,1,3,1,M,N,,3,0
2010028343,24,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,5,2,3,3,M,N,,3,0
2010028343,43,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,3,2,0,3,F,N,,2,0
2010028343,77,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,1,3,1,M,N,,2,0
2010028343,56,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,1,0
2010028343,28,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,4,1,3,1,M,N,,3,0
2010028343,24,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,5,2,3,3,M,N,,3,0
2010028343,43,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,3,2,0,3,F,N,,2,0
2010028343,77,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,1,3,1,M,N,,2,0
2010028343,56,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,3,1,M,N,,1,0
2010044789,25,0,,,,, ,PA,1.0,0,0,0,0,0,  , ,1,1,99,1,F, ,,1,0
2010044789,37,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,M, ,,2,0
2010044789,64,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,1,1,F, ,,3,0
2010044789,25,8,02,,,, ,PA,1.0,0,0,0,0,0,  , ,2,2,99,3,F, ,,1,0
2010044789,40,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,2,99,6,M, ,,2,0
2010044789,25,0,,,,, ,PA,1.0,0,0,0,0,0,  , ,1,1,99,1,F, ,,1,0
2010044789,37,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,M, ,,2,0
2010044789,64,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,1,1,F, ,,3,0
2010044789,25,8,02,,,, ,PA,1.0,0,0,0,0,0,  , ,2,2,99,3,F, ,,1,0
2010044789,40,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,2,99,6,M, ,,2,0
2010044789,25,0,,,,, ,PA,1.0,0,0,0,0,0,  , ,1,1,99,1,F, ,,1,0
2010044789,37,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,M, ,,2,0
2010044789,64,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,1,1,F, ,,3,0
2010044789,25,8,02,,,, ,PA,1.0,0,0,0,0,0,  , ,2,2,99,3,F, ,,1,0
2010044789,40,0,,,,, ,PA,0.0,0,0,0,0,0,  , ,2,2,99,6,M, ,,2,0
2010048785,99,8,02,,,, ,PA,0.0,0,0,0,4,0,  , ,2,2,99,3,F,Y,,1,0
2010048785,28,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,99,1,F,N,,1,0
2010048785,32,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,F,Y,,2,0
2010048785,99,8,02,,,, ,PA,0.0,0,0,0,4,0,  , ,2,2,99,3,F,Y,,1,0
2010048785,28,8,02,,,, ,PA,0.0,0,0,0,0,0,  , ,1,1,99,1,F,N,,1,0
2010048785,32,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,F,Y,,2,0
2010048818,50,99,,,,, ,PA,0.0,0,0,0,4,0,  , ,1,1,99,1,F,Y,,2,0
