CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2010074986,,3,2.0,,67,E,4,4,,,25.0,NEDRO AV
2010028332,,5,2.0,,67,E,5,4,,,25.0,MASTER ST
2010099744,,4,2.0,0.0,67,S,4,2,3015.0,53.0,25.0,COBBS CREEK PY
2010059552,1.0,6,2.0,425.0,67,E,6,2,8014.0,500.0,,RAMP A RD
2010064669,,3,2.0,,67,N,4,4,,,,TWELFTH ST
2010032588,3.0,3,2.0,1473.0,67,E,3,2,2016.0,60.0,30.0,ALLEGHENY AV
2010122430,3.0,3,2.0,2337.0,67,S,3,2,4009.0,10.0,35.0,ROBERTS AV
2010075071,3.0,3,3.0,1075.0,67,N,3,2,6001.0,320.0,45.0,ROOSEVELT BL
2010032719,3.0,3,1.0,2576.0,67,N,3,2,2007.0,120.0,25.0,FRANKFORD AV
2010099811,3.0,5,2.0,0.0,67,B,5,2,3015.0,10.0,25.0,MAIN ST
2010044585,,4,1.0,,67,W,4,4,,,,THOMPSON ST
2010020478,1.0,3,2.0,2536.0,67,E,3,1,76.0,3444.0,50.0,SCHUYLKILL EX
2010094197,,3,1.0,,67,W,3,4,,,25.0,TASKER ST
2010069648,,4,2.0,,67,N,3,4,,,,RISING SUN AV
2010058055,,3,4.0,,67,E,3,4,,,45.0,BENJAMIN FRANKLIN BRIDGE BR
2010117814,3.0,3,3.0,708.0,67,E,3,2,4009.0,30.0,35.0,ROBERTS AV
2010067064,1.0,3,1.0,50.0,67,N,3,2,1.0,90.0,50.0,ROOSEVELT BOULEVARD EX
2010039211,,4,1.0,,67,E,3,4,,,,CHRISTIAN ST
2010027953,,3,1.0,,67,N,3,4,,,25.0,FRAZIER ST
2010028235,,4,1.0,,67,S,3,4,,,,NINETEENTH ST
2010101109,,4,2.0,,67,N,3,4,,,25.0,SEVENTYSECOND ST
2010074536,3.0,4,2.0,0.0,67,S,4,2,1003.0,31.0,35.0,WHITAKER AV
2010028179,,7,4.0,,67,E,7,4,,,35.0,FRANKLIN MILLS BL
2010088798,,3,1.0,,67,N,3,4,,,,FIFTIETH ST
2010011630,3.0,4,2.0,1418.0,67,S,4,2,13.0,251.0,30.0,FRANKFORD AV
2010084199,,4,2.0,,67,N,3,4,,,,SEVENTIETH ST
2010113817,,5,2.0,,67,E,5,4,,,25.0,BENNER ST
2010048466,3.0,4,2.0,912.0,67,S,4,2,611.0,41.0,30.0,BROAD ST
2010021698,,3,1.0,,67,N,4,4,,,25.0,EMERALD ST
2010117930,3.0,3,2.0,964.0,67,N,3,2,1008.0,30.0,25.0,LEVICK ST
2010067056,,3,1.0,,67,S,3,4,,,25.0,YOCUM ST
2010074581,3.0,4,2.0,525.0,67,N,4,2,2009.0,10.0,30.0,ARAMINGO AV
2010028316,3.0,4,4.0,670.0,67,S,4,2,611.0,21.0,30.0,BROAD ST
2010026593,1.0,3,3.0,1725.0,67,S,3,1,95.0,141.0,55.0,DELAWARE EX
2010048806,,4,2.0,,67,N,3,4,,,,LARGE ST
2010043494,1.0,3,4.0,1112.0,67,W,3,1,76.0,3395.0,50.0,SCHUYLKILL EX
2010030263,3.0,3,2.0,818.0,67,E,3,2,2004.0,10.0,25.0,MARKET ST
2010088748,,3,2.0,,67,S,3,4,,,,SIXTYSEVENTH ST
2010017196,,4,2.0,,67,S,4,4,,,25.0,SIXTYEIGHTH ST
2010028071,3.0,4,2.0,1072.0,67,S,4,2,3010.0,31.0,25.0,MARKET ST
2010088791,,4,1.0,,67,E,3,4,,,,LOCUST ST
2010070023,,4,2.0,,67,E,3,4,,,,FLORENCE AV
2010081969,,5,1.0,,67,N,5,4,,,,THIRTEENTH ST
2010117827,,4,1.0,,67,S,3,4,,,25.0,MOYAMENSING AV
2010069276,,4,1.0,,67,W,3,4,,,,CHERRY ST
2010075034,,4,2.0,,67,E,4,4,,,,COULTER ST
2010036890,1.0,3,3.0,1988.0,67,S,3,1,95.0,151.0,55.0,DELAWARE EX
2010088940,,3,2.0,,67,E,3,4,,,15.0,RITTENHOUSE ST
2010070071,,4,1.0,,67,E,3,4,,,25.0,DICKINSON ST
2010081954,3.0,3,2.0,2777.0,67,N,3,2,3021.0,70.0,30.0,GRAYS FERRY AV
2010110866,,3,2.0,,67,N,3,4,,,25.0,NINTH ST
2010048450,,4,1.0,,67,E,3,4,,,,CUMBERLAND ST
2010074644,,4,1.0,,67,W,3,4,,,,CATHARINE ST
2010028185,3.0,3,2.0,215.0,67,N,3,2,611.0,140.0,30.0,BROAD ST
2010088857,,4,2.0,,67,N,3,4,,,,FRANKLIN ST
2010070015,,3,2.0,,67,W,4,4,,,,PATTISON AV
2010021711,3.0,5,3.0,0.0,67,S,3,2,6001.0,321.0,45.0,ROOSEVELT BL
2010094175,,5,2.0,,67,S,5,4,,,25.0,SECOND ST
2010044486,,4,1.0,,67,N,4,4,,,25.0,TWENTYSEVENTH ST
2010074639,,3,2.0,,67,N,3,4,,,25.0,TWENTYFIFTH ST
2010032582,,3,2.0,,67,N,3,4,,,,CRESCO AV
2010099508,,3,1.0,,67,N,4,4,,,25.0,FIFTEENTH ST
2010052209,,4,2.0,,67,S,4,4,,,25.0,TWELFTH ST
2010056267,,6,4.0,,67,E,6,4,,,25.0,PENN SQ
2010093474,,6,2.0,,67,S,6,4,,,25.0,SEVENTIETH AV
2010104638,1.0,3,3.0,459.0,67,N,3,1,95.0,314.0,55.0,DELAWARE EX
2010084254,3.0,3,2.0,1590.0,67,E,3,2,2016.0,20.0,30.0,ALLEGHENY AV
2010093709,,4,2.0,,67,W,3,4,,,,CALLOWHILL ST
