CRN,AVOID_MAN_CD,BODY_TYPE,COMM_VEH,DAMAGE_IND,DVR_PRES_IND,EMERG_VEH_USE_CD,GRADE,HAZMAT_IND,IMPACT_POINT,INS_IND,MAKE_CD,MODEL_YR,NON_MOTORIST,OWNER_DRIVER,PEOPLE_IN_UNIT,PRIN_IMP_PT,RDWY_ALIGNMENT,SPECIAL_USAGE,TOW_IND,TRAVEL_DIRECTION,TRAVEL_SPD,TRL_VEH_CNT,UNDER_RIDE_IND,UNIT_NUM,UNIT_TYPE,VEH_COLOR_CD,VEH_MOVEMENT,VEH_POSITION,VEH_REG_STATE,VEH_ROLE,VEH_TYPE,PARTIAL_VIN,VINA_BODY_TYPE_CD
2010038802,,2.0,N,3.0,1.0,,1.0,N,12.0,U,FORD,1995.0,0,2.0,1,,1.0,99.0,Y,E,999.0,0.0,,1,1,4.0,1.0,99.0,PA,1,1.0,1FALP4043SF,PCP
2010060435,,4.0,N,3.0,1.0,,1.0,N,1.0,Y,NISS,1997.0,0,1.0,1,,1.0,0.0,Y,E,55.0,0.0,,1,1,8.0,15.0,6.0,CA,1,1.0,1N4BU31D4VC,P4D
2010069640,,4.0,N,1.0,1.0,,1.0,N,99.0,Y,MRCU,2004.0,0,1.0,2,,1.0,0.0,N,N,999.0,0.0,,4,1,12.0,1.0,2.0,PA,2,1.0,2MEFM74W84X,P4D
2010059196,,15.0,N,2.0,1.0,,1.0,N,6.0,Y,FORD,1999.0,0,1.0,3,,1.0,0.0,Y,E,25.0,0.0,,2,1,3.0,1.0,1.0,PA,2,6.0,1FMPU18LXXL,PUT
2010113739,,4.0,N,2.0,1.0,,1.0,N,11.0,Y,NISS,2007.0,0,1.0,1,,1.0,0.0,N,N,999.0,,,1,1,1.0,1.0,13.0,PA,1,1.0,1N4BA41E87C,P4D
2010075901,,9.0,N,3.0,1.0,,1.0,N,11.0,Y,OTHR,9999.0,0,9.0,1,,1.0,99.0,Y,S,999.0,,,1,1,3.0,99.0,7.0,ZG,1,1.0,99999999999,
2010117694,,49.0,N,2.0,1.0,,1.0,N,2.0,U,MERZ,2006.0,0,2.0,4,,1.0,0.0,N,E,999.0,,,2,1,3.0,10.0,1.0,PA,2,7.0,99999999999,
2010074600,,,N,2.0,1.0,,1.0,N,12.0,,,,1,,1,,1.0,0.0,N,E,999.0,,,2,11,4.0,12.0,13.0,,2,20.0,,
2010116318,,,N,,,,,N,,,,,1,,1,,,,,,,,,2,31,,,,,2,,,
2010069599,,9.0,N,9.0,4.0,,1.0,N,99.0,U,,,0,99.0,1,,1.0,99.0,N,W,999.0,,,1,5,99.0,1.0,99.0,,1,1.0,,
2010058322,,15.0,N,2.0,1.0,,1.0,N,6.0,Y,ACUR,2010.0,0,1.0,4,,1.0,0.0,N,E,0.0,0.0,,3,1,9.0,3.0,6.0,PA,2,6.0,2HNYD2H63AH,PUT
2010111450,,4.0,N,3.0,1.0,,1.0,N,2.0,Y,HYUN,2005.0,0,1.0,2,,1.0,0.0,Y,W,999.0,,,2,1,1.0,1.0,4.0,PA,2,1.0,KMHWF25S95A,P4D
2010116276,,4.0,N,2.0,1.0,,3.0,N,6.0,Y,,2005.0,0,1.0,1,,1.0,0.0,N,E,30.0,0.0,,2,1,5.0,2.0,3.0,PA,2,1.0,1G6DM56T650,P4D
2010028401,,12.0,N,3.0,1.0,,1.0,N,10.0,N,DODG,2005.0,0,1.0,2,,1.0,0.0,Y,S,999.0,,,2,1,1.0,10.0,99.0,NJ,2,1.0,1D4GP25B15B,PSV
2010074639,,,N,1.0,1.0,,2.0,N,12.0,,,,1,0.0,1,,1.0,0.0,N,N,999.0,,,1,11,2.0,1.0,1.0,,1,20.0,,
2010113719,,4.0,N,3.0,1.0,,1.0,N,12.0,Y,MITS,1996.0,0,1.0,1,,1.0,0.0,Y,S,999.0,0.0,,2,1,7.0,1.0,99.0,PA,2,1.0,JA3AJ46G0TZ,P4D
2010030606,,4.0,N,2.0,1.0,,1.0,N,7.0,Y,OTHR,1995.0,0,1.0,1,,1.0,0.0,N,S,0.0,0.0,,2,1,4.0,3.0,3.0,PA,2,1.0,1HGCD5635SA,P4D
2010052271,,15.0,N,0.0,1.0,,1.0,N,3.0,Y,JEEP,2007.0,0,1.0,1,,1.0,0.0,N,S,15.0,0.0,,2,1,9.0,1.0,13.0,PA,1,6.0,1J8FT47W17D,T4W
2010086026,,,N,1.0,1.0,,1.0,N,2.0,,OTHR,,0,98.0,1,,1.0,12.0,N,S,999.0,,,2,1,3.0,1.0,98.0,,2,25.0,,
2010088216,,39.0,Y,0.0,1.0,,1.0,N,1.0,Y,OTHR,2008.0,0,2.0,1,,1.0,12.0,N,S,99.0,0.0,,1,1,3.0,12.0,3.0,PA,1,3.0,5FYH4FV188B,
2010088763,,20.0,N,2.0,1.0,,1.0,N,9.0,Y,KAWK,2008.0,0,1.0,1,,1.0,0.0,N,E,999.0,,,2,1,1.0,1.0,1.0,PA,1,2.0,1HD1CZ3128K,MRS
