CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2006062399,3.0,4,2,1602.0,67,E,4,2,1016,60.0,35.0,LINDEN AV
2006055305,,4,1,502.0,67,U,3,2,8012,20.0,35.0,
2006034194,3.0,5,2,0.0,67,,5,2,4007,10.0,25.0,CLARISSA ST
2006079948,3.0,3,2,2250.0,67,N,3,2,1005,130.0,25.0,CASTOR AV
2006094184,3.0,4,2,0.0,67,W,4,2,2014,51.0,25.0,LEHIGH AV
2006054205,,4,2,,67,U,3,4,,,,SIXTYTHIRD ST
2006080993,,4,2,0.0,67,E,4,4,,,35.0,LOTT ST
2006056499,3.0,4,2,1796.0,67,W,4,2,2676,5.0,25.0,VINE ST
2006054221,,3,2,,67,E,3,4,,,35.0,GREENLAND DR
2006081110,3.0,3,2,1755.0,67,N,3,2,4002,80.0,35.0,STENTON AV
2006102391,,4,2,0.0,67,N,3,4,,,25.0,SEVENTH ST
2006115746,3.0,3,2,1774.0,67,S,3,2,2001,31.0,,OREGON AV
2006053996,,4,2,,67,U,3,4,,,,RACE ST
2006033800,3.0,4,2,1258.0,67,W,3,2,3009,80.0,,RIDGE AV
2006065740,,4,1,,67,W,4,4,,,25.0,LUDLOW ST
2006054675,3.0,3,2,2080.0,67,W,3,2,3007,20.0,,ARCH ST
2006124006,,4,2,,67,N,3,4,,,,RIDGE AV
2006079917,,4,1,,67,W,4,4,,,25.0,WYOMING AV
2006116053,,3,2,0.0,67,S,3,4,,,25.0,KENSINGTON AV
2006055570,,3,4,2199.0,67,E,3,2,0676,7.0,,
2006080673,3.0,5,2,0.0,67,E,6,2,1018,30.0,,GRANT AV
2006062380,,4,99,,67,E,4,4,,,,ROSALIE ST
2006055092,,4,2,,67,S,4,4,,,,SIXTH ST
2006124011,3.0,5,2,107.0,67,E,7,2,1018,30.0,35.0,GRANT AV
2006081663,,4,1,,67,N,4,4,,,25.0,ELEVENTH ST
2006116048,3.0,3,2,2090.0,67,N,3,2,4003,10.0,40.0,WISSAHICKON AV
