CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2022050034,5.0,0,3511 MEERS RD NW,,DALTON,GA,30721,MCIP TRUCKING LLC,2013419704.0,080000,,,,,N,,,,,,,1.0,999145,0.0,,,,1,02950942,98
2022086803,3.0,1,2204 N WESTPORT AVE,,SIOUX FALLS,SD,57107,T BROTHERS,6053330566.0,060000,,,,,N,,,,,,,1.0,,0.0,,,,1,00821186,8
2022075433,5.0,1,66 HERMANN ST,,CARTERET,NJ,07008,AERO FREIGHT INC,9415849868.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,1,03507845,8
2022026490,2.0,4,3800 EAST MARKET ST,,YORK,PA,17402,PRECISION PIPELINE SOLUTIONS,4439105455.0,033000,,,,,N,,,,,,,,,0.0,,,,2,01478864,9
2022067376,2.0,1,1334 2ND. AVE,,CHAMBERSBURG,PA,17202,EBY'S IBA,7173771193.0,025500,,,,,N,,,,,,,,,0.0,,,,1,03032328,3
2022075481,3.0,0,8001 THYSSENKRUPP PKWY,,NORTHWOOD,OH,43619,THYSSENKRUPP LOGISTICS INC,4196621800.0,999999,,,,,N,,,,,,,,,0.0,,,,1,99999999,4
2022062169,4.0,7,320 GODSHALL DR,,HARLEYSVILLE,PE,19438,JP MASCARO & SON,2154320798.0,073280,,,,,N,,,,,,,2.0,0045743,0.0,,,,1,00454743,4
2022071510,99.0,7,1030 W GERMANTOWN PIKE,,NORRISTOWN,PA,19403,GAMBONE BROS ENTERPRISES INC,6107681700.0,,,,,,N,,,,,,,,,0.0,,,,1,00680396,9
2022123886,5.0,12,8485 MERCER ST,,PULASKI,PA,16143,MITCHELTREE BROS LOGGING &LUMBER,7246995374.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,00585270,8
2022075237,3.0,0,1046 N GILMORE ST,,ALLENTOWN,PA,18109,ROSS,6104358013.0,019665,,,,,N,,,,,,,99.0,,0.0,,,,2,00434995,9
2022062332,99.0,1,16 CHIPPENHAM DR,,VOORHEES,NJ,08043,MARK  A  MEDINA,6094136385.0,080000,,,,,N,,,,,,,99.0,,0.0,,,,2,00292412,8
2023001293,99.0,99,UNK,,UNK,PA,99999,HEMLOCK FARMS COMMUNITY ASSOCI,9999999999.0,019500,,,,,N,,,,,,,,,0.0,,,,2,,99
2022005414,4.0,1,104 E WOOD LAWN RANCH RD,,HOUMA,LA,70363,SAIA,8146952547.0,080000,,,,,N,,,,,,N,,,,,,,2,00029124,3
2022005414,3.0,1,1035 JEFFERSON RD,,PITTSBURGH,PA,15235,TURNERS DAIRY FARMS,4123722211.0,053000,,,,,N,,,,,,N,,,,,,,1,00381686,9
2022019114,2.0,0,2235 BEAVER AVE,,PITTSBURGH,PA,15233,PORT AUTHORITY ALLEGHENY COUNTY,4124422000.0,017963,,,,,N,,,,,,,99.0,A-00976060,0.0,,,,1,,13
2022121697,99.0,6,4 WOODLAND DR,,COLONIA,NJ,07067,AUTO TRAN S BROTHERS LLC,9084945681.0,000080,,,,,N,,,,,,,1.0,,0.0,,,,1,02183590,8
2022121697,5.0,1,1626 LARKSPUR DR,,MOUNTAINSIDE,NJ,07092,NICK S TRANSPORTATION LLC,9082471500.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,03824548,8
2022087449,2.0,3,PO BOX 644,,EXTON,PA,19341,TW METALS,7326901945.0,064000,,,,,N,,,,,,,,,0.0,,,,2,00033152,8
2023004784,,8,1976 VALLEY VIEW DRIVE,,DAVIDSVILLE,PA,15928,MLAKER LLC,8144792515.0,000000,,,,,N,,,,,,,1.0,,0.0,,,,2,02424462,12
2022018032,5.0,0,974 BELLGLADE DR,,STONE MOUNTAIN,GA,30083,A2B LOGISTICS LLC,8663472139.0,080000,,,,,N,,,,,,,,,0.0,,,,1,03461904,8
2022110590,3.0,0,4396 CHAMBERS HILL ROAD,,HARRISBURG,PA,17111,POOJA TRUCKING INC,7175036368.0,017500,,,,,N,,,,,,,1.0,,0.0,,,,2,01851484,4
2022124318,2.0,8,1234 MARKET ST FL 9,,PHILADELPHIA,PA,19107,SOUTHEASTERN PA TRANSPORTATION,2155807800.0,014000,,,,,N,,,,,,,,,0.0,,,,2,00010206,10
2022062063,99.0,99,404 EPSILON DR,,WERNERSVILLE,PA,19565,ANDREW REED,7176965906.0,999999,,,,,,,,,,,,99.0,,0.0,,,,1,,99
2023005338,5.0,3,6720 N 9TH ST,,OMAHA,NE,68112,REINHART TRANSPORTATION LLC,7249611002.0,072000,,,,,N,,,,,,,2.0,,0.0,,,,2,00000999,8
2022096973,3.0,2,460 N GULPH ROAD,,KING OF PRUSSIA,PA,19406,PTI PROPANE TRANSPORT INTERNATIO,6103377000.0,080000,3.0,,,,Y,1.0,,,,,,2.0,,0.0,,,,2,00388004,8
2022074882,5.0,1,13410 SUTTON PARK DRIVE SOUTH,,JACKSONVILLE,FL,32224,LANDSTAR INWAY INC,8008729400.0,080000,,,,,N,,,,,,,,,0.0,,,,2,00216939,8
2022027205,99.0,99,4555 NORTH CHANNEL AVE,,PORTLAND,OR,97217,DAIMLER TRUCKS NORTH AMERICA LLC,5709064371.0,999999,,,,,,,,,,,,,A-00775072,0.0,,,,1,02201313,99
2022027205,99.0,0,4555 NORTH CHANNEL AVE,,PORTLAND,OR,97217,DAIMLER TRUCKS NORTH AMERICA LLC,5709064371.0,033001,,,,,N,,,,,,,,A-00775072,0.0,,,,2,02201313,9
2022099122,5.0,3,150 EDWARD DRIVE,,RINGWOOD,NJ,07456,MERC TRUC  K  ING LLC,8336372878.0,,,,,,N,,,,,,,99.0,,0.0,,,,1,03164687,8
2022087189,5.0,1,1002 CO RD 21 LT #8,,PRATTVILLE,AL,36067,EW EXPRESS SPECIALIZED CARRIERS,4043167570.0,050000,,,,,N,,,,,,,2.0,,0.0,,,,1,01901294,8
2022087189,5.0,3,3215 ORGAN CHURCH RD,,ROCKWELL,NC,28138,TRANSTEEL EXPRESS CORP,9084222496.0,040000,,,,,N,,,,,,,2.0,,0.0,,,,2,02540069,8
2022110784,2.0,1,2740 CHARLESTOWN RD,,LANCASTER,PA,17603,SERENA A KIRCHNER INC,7178721400.0,033000,,,,,N,,,,,,,,,0.0,,,,1,02295138,3
2022118964,5.0,11,9200 E 146TH ST,,NOBLESVILLE,IN,46060,JB HUNT TRANSPORTATION,8888874078.0,080000,,,,,N,,,,,,,2.0,,0.0,,,,1,00080806,8
2022007553,5.0,6,58 JEWEL LN,,LEVITTOWN,PA,19055,MEADE ENTERPRISES INC,2157685059.0,080000,,,,,N,,,,,,,,,0.0,,,,2,02557342,8
2022008703,3.0,4,10314 SOMERSET PIKE,,SOMERSET,PA,15501,BARRON TRUCKING,8144433795.0,073280,,,,,N,,,,,,,99.0,,0.0,,,,1,,4
2022110991,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,0.0,,,,2,,13
