CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2022047424,N,N,N,Y,1.0,U,U,Y,Y,600.0,,,,,,,,N,N,,,,,1
2022060749,N,Y,Y,Y,0.0,N,N,Y,Y,1746.0,,,,,,,,N,N,,,,,1
2022078621,Y,U,Y,Y,1.0,U,Y,Y,Y,1584.0,,,,,,,,N,N,,,,,1
2022076736,Y,N,Y,Y,1.0,Y,Y,N,Y,1200.0,,,,,,,,N,N,,,,,1
2022068980,U,U,U,U,9.0,U,U,U,U,1584.0,,,,,,,,N,N,,,,,1
2022068980,U,U,Y,U,9.0,U,U,U,U,1450.0,,,,,,,,N,N,,,,,2
2022068529,N,Y,Y,Y,0.0,N,N,Y,N,1400.0,,,,,,,,N,N,,,,,2
2022086199,Y,Y,N,N,0.0,U,U,Y,N,1449.0,,,,,,,,N,N,,,,,1
2022024450,N,Y,Y,U,1.0,Y,Y,Y,Y,250.0,,,,,,,,N,N,,,,,1
2022112703,N,U,Y,Y,0.0,N,N,Y,Y,1746.0,U,Y,1.0,Y,Y,Y,Y,Y,N,,,,,2
2022033611,N,Y,N,N,0.0,N,N,U,Y,550.0,N,N,0.0,N,N,N,Y,Y,N,,,,,2
2022072936,N,N,U,Y,0.0,N,N,N,N,471.0,N,Y,0.0,N,N,N,N,Y,N,,,,,1
2022075852,Y,U,U,U,0.0,,,Y,N,2000.0,,,,,,,,N,N,,,,,2
2022060753,Y,Y,Y,Y,0.0,N,N,Y,N,1690.0,,,,,,,,N,N,,,,,1
2022060833,,,,,,,,,,,,,,,,,,,,N,N,N,N,2
2022050842,N,Y,Y,Y,3.0,U,Y,Y,Y,1050.0,,,,,,,,N,N,,,,,2
2022077260,N,N,U,Y,1.0,Y,N,Y,Y,650.0,,,,,,,,N,N,,,,,2
2022067578,N,N,U,Y,1.0,Y,Y,N,N,400.0,,,,,,,,N,N,,,,,2
2022036595,N,U,U,Y,0.0,N,N,Y,N,1304.0,,,,,,,,N,N,,,,,1
2022027730,N,U,N,N,1.0,U,N,U,U,99999.0,,,,,,,,N,N,,,,,2
2022108158,Y,Y,Y,Y,3.0,Y,Y,Y,Y,200.0,,,,,,,,N,N,,,,,1
2022051501,N,U,U,Y,1.0,Y,Y,Y,Y,1133.0,U,Y,1.0,Y,Y,Y,N,Y,N,,,,,1
2022045787,N,U,Y,U,3.0,U,Y,Y,Y,500.0,,,,,,,,N,N,,,,,1
2022022946,Y,Y,U,Y,1.0,Y,Y,Y,Y,1200.0,,,,,,,,N,N,,,,,2
2022048150,N,Y,Y,Y,0.0,N,N,Y,N,650.0,,,,,,,,N,N,,,,,1
2022017196,,,,,,,,,,,,,,,,,,,,N,N,N,N,1
2022036767,U,U,U,U,0.0,N,N,U,U,99999.0,U,N,0.0,N,N,U,U,Y,N,,,,,1
2022094407,N,N,U,U,3.0,Y,N,Y,Y,150.0,,,,,,,,N,N,,,,,1
2022076491,Y,N,U,Y,2.0,Y,Y,Y,Y,1800.0,,,,,,,,N,N,,,,,1
2022044515,N,U,N,Y,0.0,,,Y,N,750.0,N,Y,1.0,Y,Y,Y,Y,Y,N,,,,,1
2022025982,N,U,U,N,1.0,Y,Y,Y,Y,600.0,,,,,,,,N,N,,,,,1
2022056416,,,,,,,,,,,,,,,,,,,,N,Y,N,Y,1
2022052661,Y,U,U,Y,0.0,N,N,Y,U,1340.0,,,,,,,,N,N,,,,,2
2022063322,N,U,Y,Y,1.0,U,Y,Y,N,850.0,,,,,,,,N,N,,,,,2
