CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2022077032,2022,1GRDM962XJ,1,PA,PT897M1,7.0,2
2022050934,2022,5JGAC34295,1,SC,PV64422,3.0,1
2022054276,2022,1FVXFBCK2C,1,PA,AG75163,6.0,2
2022066739,2022,1JJV532W77,1,ME,252623E,7.0,2
2022029222,2022,13N248209F,1,ME,25-99715,7.0,2
2022033406,2022,1JJV532D5K,1,IL,680591ST,7.0,2
2022125203,2022,1GRAA56144,1,IN,P733464,7.0,2
2022115621,2022,1DW1A2818G,1,OK,5486KL,7.0,2
2022060762,2022,1UYVS253XN,1,IL,835275ST,7.0,2
2022118457,2022,1J9BH36235,1,PA,PT127H4,7.0,1
2022014235,2022,,0,MO,46A746,7.0,2
2022057494,2022,5A4JVSJ12K,1,PA,XNW3476,3.0,2
2022023819,2022,9999999999,1,ZZ,999999999999,9.0,1
2022105716,2022,5DMDFALB44,1,ME,246830C,7.0,1
2022121245,2022,4YMBU1011N,1,PA,XNY1505,3.0,1
2022100646,2022,1RZ1KC1A6W,2,IN,P603587,7.0,2
2022116923,2022,5N6200G238,1,PA,XNS3977,3.0,1
2023000763,2022,1GRAA0622B,1,NV,19933PT,7.0,1
2022073169,2022,5MC124816F,1,PA,PT4034W,7.0,1
2022110869,2022,57JE52308N,1,PA,PT887H1,7.0,2
2023006109,2022,5EF2DF432G,1,ME,2954489,7.0,1
2022005042,2022,9999999999,1,IL,434672,7.0,1
2022020725,2022,9999999999,1,IN,P368970,7.0,1
2022039025,2022,16V1U1314N,1,PA,XNE8805,3.0,1
2022087692,2022,1UYVS2531K,1,OH,TRC2261,7.0,2
2022096630,2022,1JJV482DXH,1,TN,U698521,7.0,2
2022079223,2022,3CVU71217E,1,WV,C273202,3.0,2
2022013933,2022,9999999999,1,NY,2218D7,7.0,2
2022100646,2022,7F21B2818N,1,IN,PB87140,7.0,2
2022011761,2022,2W9HC3025M,1,PA,PT644L1,6.0,2
2022044415,2022,UNKNOWN,1,ME,3715864,7.0,2
2022103667,2022,14HU08103L,1,NC,AB98623,3.0,1
2022033067,2022,9999999999,1,IN,P909586,7.0,1
2022057665,2022,5RXFB3626K,1,NJ,TUN85H,5.0,2
2022073256,2022,1GRAA0625H,1,OK,BB6761,7.0,2
2022076868,2022,1GRAA0620C,1,MX,3142764,7.0,1
2022099844,2022,1GR1P0922M,1,IL,771944ST,7.0,1
2022043218,2022,5JPBU1822J,1,PA,XNL0444,3.0,1
2022106595,2022,9999999999,1,ZZ,999999999999,7.0,2
2022116584,2022,5V8VA5326J,1,PA,PT117E8,7.0,1
2022067264,2022,5JPBU1821F,1,PA,XMF2494,6.0,1
2022087692,2022,1DW1A5327Y,1,KY,83131T,7.0,1
2022080059,2022,1GRAA06236,1,TX,189C844,7.0,2
2022100646,2022,7F21B2818N,1,IN,PB87140,7.0,3
2023000763,2022,1GRAP5614C,1,IN,P304839,7.0,2
2022007858,2022,9999999999,1,LA,L866413,3.0,1
2022033406,2022,1JJV532D2G,1,TN,U571615,7.0,1
2022115084,2022,1GR4M902XL,1,PA,PT028H0,7.0,1
2022046549,2022,1UYVS2538N,1,FL,QA78JC,7.0,2
2022081085,2022,3611000000,1,PA,PT0424C,6.0,2
2022094477,2022,9999999999,1,ME,25TLR6033C,7.0,1
2022113602,2022,5JWTU1820C,1,PA,XHC0329,3.0,2
2022043320,2022,1JJV532D7G,1,ME,271609B,7.0,2
2022011396,2022,9999999999,1,TN,U805485,7.0,1
2022119705,2022,1GRAA06255,1,ME,3154512,7.0,2
2022005042,2022,9999999999,1,IN,P491930,7.0,2
2022088036,2022,5A3C716D6H,1,PA,XLR8850,6.0,3
2022117973,2022,1B9K13921P,1,IL,91151ST,7.0,1
2022072547,2022,3H3V532C5K,1,OR,HV25595,7.0,1
2022125203,2022,1JJV281D6H,2,IN,P531193,6.0,2
2022029016,2022,26D6V1314,1,IL,675896,7.0,1
2022026573,2022,,0,IA,DZ6509,7.0,2
2022081102,2022,1E1U2X286J,1,IL,TTM93A,7.0,2
2022053525,2022,1UYVS2531J,1,ME,3226095,7.0,4
2022068497,2022,3H3V532C7K,1,OR,HV43728,7.0,1
2022036749,2022,9999999999,1,ZZ,99,7.0,1
2022073169,2022,1RNF48A20G,1,IL,714853ST,7.0,2
2022081085,2022,13N14820XL,1,IA,FB6205,7.0,1
2022123900,2022,1UYVS2481P,1,ME,3153122,7.0,1
2023000174,2022,VIN3H3V532,1,TN,169791T,7.0,1
2022010302,2022,9999999999,1,PA,PT354H5,6.0,2
