OBJECTID,STATEWIDE_ID,DISTRICT_ID,STATUS_ID,MPMS_PROJ_ID,PLAN_DEPLOY_YEAR,INSTALL_TYPE_ID,STRUCT_TYPE_ID,POLE_HEIGHT,LOC_DISTRICT_NO,OWNER_DISTRICT_NO,LOCATION_DESC,MILE_MARKER,EXIT_NUMBER,CTY_CODE,ST_RT_NO,JURIS,SEG_NO,OFFSET,LATITUDE,LONGITUDE,SOURCE_IS_LATLONG,SIDE_IND,MANUFACTURER,MODEL,POWER_TYPE_ID,COMM_TYPE_ID,INSTALLATION_DATE,URL,IS_FROM_STATEWIDE,IS_FROM_REGIONAL,IS_FROM_ROPS,IS_FROM_MPMS,RECORD_UPDATE,ID,GIS_UPDATE_DATE,GIS_GEOMETRY_UPDATE_DATE,SE_ANNO_CAD_DATA,GPID,Has Geometry
8445,CAM-06-271,CM 126,1,86285,2011,1,6,55,06,06,NB at E. Maple Ave. / SR 213,999.9000244,999,09,0001,1,0120,2248,40.1781,-74.90636,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06271CM126.flv.jpg,,,,,2/27/2024 8:32:41 PM,568,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8445,Y
8446,CAM-06-272,CM 127,1,86285,2011,1,6,55,06,06,SB south of Woodbourne Road,999.9000244,999,09,0001,1,0134,1926,40.18693,-74.89731,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06272CM127.flv.jpg,,,,,2/27/2024 8:32:41 PM,569,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8446,Y
8447,CAM-06-273,CM 128,1,86285,2011,1,8,55,06,06,SB at Woodbourne Road,999.9000244,999,09,0001,1,0150,779,40.19116,-74.88762,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06273CM128.flv.jpg,,,,,2/27/2024 8:32:42 PM,570,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8447,Y
8448,CAM-06-274,CM 129,1,86285,2011,1,6,55,06,06,SB at Oxford Valley Road,999.9000244,999,09,0001,1,0170,108,40.19355,-74.86461,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06274CM129.flv.jpg,,,,,2/27/2024 8:32:43 PM,571,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8448,Y
8449,CAM-06-275,CM 130,1,86285,2011,1,6,55,06,06,NB north of Oxford Valley Road,999.9000244,999,09,0001,1,0190,32,40.19369,-74.84804,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06275CM130.flv.jpg,,,,,2/27/2024 8:32:43 PM,572,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8449,Y
8450,CAM-06-276,CM 131,1,86285,2011,1,6,55,06,06,SB at Stoney Hill Road,999.9000244,999,09,0001,1,0210,77,40.19563,-74.83158,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06276CM131.flv.jpg,,,,,2/27/2024 8:32:44 PM,573,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8450,Y
8451,CAM-06-277,CM 132,1,86285,2011,1,6,55,06,06,NB at Trenton Road,999.9000244,999,09,0001,1,0220,918,40.19388,-74.82105,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06277CM132.flv.jpg,,,,,2/27/2024 8:32:45 PM,574,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8451,Y
8452,CAM-06-278,CM 133,1,86285,2011,1,6,55,06,06,SB at Pine Grove Road/US 13,999.9000244,999,09,0001,1,0240,1785,40.19706,-74.80171,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06278CM133.flv.jpg,,,,,2/27/2024 8:32:45 PM,575,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8452,Y
8453,CAM-06-279,CM 134,1,86285,2011,1,6,55,06,06,SB at PA 32,999.9000244,999,09,0001,1,0250,2058,40.19805,-74.79102,T,1,Bosch,Envirodome LTC 0928/25C,1,4,4/1/2011 12:00:00 AM,http://10.28.0.245/thumbs/CAM06279CM134.flv.jpg,,,,,2/27/2024 8:32:46 PM,576,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8453,Y
8454,CAM-06-280,CM 240,1,63492,2012,1,8,,06,06,202 SB BEFORE SWEDESFORD RD,,,46,0202,1,0290,2674,40.21033,-75.25411,T,1,Bosch,,1,4,6/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06280CM240.flv.jpg,,,,,2/27/2024 8:32:47 PM,577,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8454,Y
8455,CAM-06-281,CM 241,1,63492,2012,1,8,,06,06,202 NB NORTH OF WELSH RD,,,46,0202,1,0324,549,40.22042,-75.24785,T,1,Bosch,,1,4,6/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06281CM241.flv.jpg,,,,,2/27/2024 8:32:48 PM,578,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8455,Y
8456,CAM-06-282,CM 242,1,63492,2012,1,8,,06,06,202 SB NORTH OF KNAPP RD,,,46,0202,1,0334,822,40.22891,-75.24641,T,1,Bosch,,1,4,6/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06282CM242.flv.jpg,,,,,2/27/2024 8:32:48 PM,579,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8456,Y
8457,CAM-06-283,CM 6201,1,63492,2012,1,,,06,06,202 Parkway NB AT WELSH RD,999.9000244,999,46,6202,1,,,40.21846,-75.24537,T,1,Bosch,Envirodome LTC 0928/25C,1,4,7/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06283CM6201.flv.jpg,,,,,2/27/2024 8:32:49 PM,580,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8457,Y
8458,CAM-06-284,CM 243,1,63494,2012,1,8,,06,06,Doylestown Rd at County Line Rd,999.9000244,999,46,2202,1,0100,1293,40.26561,-75.22836,T,1,Bosch,,1,4,8/1/2013 12:00:00 AM,http://10.28.0.245/thumbs/CAM06284CM243.flv.jpg,,,,,2/27/2024 8:32:50 PM,581,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8458,Y
8459,CAM-06-285,CM 244,1,63494,2012,1,,20,06,06,Butler Ave SB at Limekiln Pike,999.9000244,999,46,4202,1,,,40.28423,-75.20987,T,1,Bosch,Envirodome LTC 0928/25C,1,4,3/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06285CM244.flv.jpg,,,,,2/27/2024 8:32:50 PM,582,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8459,Y
8460,CAM-06-286,CM 245,1,63494,2012,1,,20,06,06,202 Parkway SB at Bristol Rd,999.9000244,999,09,0152,1,0070,338,40.2908,-75.19837,T,1,Bosch,Envirodome LTC 0928/25C,1,4,3/1/2012 12:00:00 AM,http://10.28.0.245/thumbs/CAM06286CM245.flv.jpg,,,,,2/27/2024 8:32:51 PM,583,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8460,Y
