CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2010108608,0,0,0,0,0,0,0,0,0,0
2010047604,0,1,0,0,1,0,0,0,0,0
2010127953,0,1,0,0,1,0,0,0,0,0
2010092828,1,0,0,0,0,0,0,0,1,1
2010030630,0,0,0,0,0,0,0,0,0,0
2010125906,0,0,0,0,0,0,0,0,0,0
2010066728,0,1,0,0,0,1,0,0,0,0
2010054989,0,0,0,0,1,1,0,0,0,0
2010051192,1,0,0,0,0,0,0,0,1,0
2010081327,0,0,0,0,0,0,0,0,0,0
2010090937,1,0,0,0,0,0,0,0,0,0
2010087059,0,0,0,0,0,0,0,0,0,1
2010029046,0,0,0,0,0,1,0,0,1,0
2010013298,0,0,0,0,0,1,0,0,0,1
2010073956,1,0,0,0,0,0,0,0,0,0
2010012702,1,0,0,0,0,0,0,0,1,1
2010076086,0,0,0,0,0,1,0,0,0,0
2010024526,0,0,0,0,0,1,0,0,0,0
2010087233,1,0,0,0,0,0,0,0,1,1
2010084890,0,0,0,0,0,0,0,0,0,0
2010092628,0,0,0,0,1,1,0,0,1,1
2010029649,0,0,0,0,0,0,0,0,0,0
2010030958,0,0,0,0,0,0,0,0,0,0
2010097659,0,0,0,0,0,0,0,1,1,1
2010092165,0,0,0,0,0,0,0,0,1,1
2010120112,0,0,0,0,0,0,0,0,0,0
2010046857,0,0,0,0,0,1,0,0,0,1
2010057884,0,0,0,0,0,0,0,0,0,0
2010085903,1,0,1,1,1,0,0,1,1,0
2010103077,0,0,0,0,0,0,0,1,1,0
2010125814,1,0,0,0,0,0,0,0,1,0
2010127893,0,0,0,0,0,0,1,0,1,0
2010095942,1,0,0,0,0,1,0,0,1,1
2010067895,0,0,0,0,0,0,0,0,0,0
2010019061,0,0,0,0,0,0,0,0,0,1
2010112531,0,0,0,0,0,1,0,0,0,0
2010017971,1,0,0,0,0,0,0,0,0,1
2010091280,0,0,0,0,0,1,0,0,0,0
